nibs-gsin,bpr-opi,gsin-description_en,gsin-description_fr,bpr-opi-url_en,bpr-opi-url_fr,gsin-code-status_en,gsin-code-status_fr
N6695BB,"[""PV""]","OMNI-DIRECTIONAL IMPACT INDICATORS, RECORDING ACCELEROMETER TYPE","Indicateurs, impact, omnidirectionnels, type accéléromètre enregistreur","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6695E,"[""PV""]","PRINTER-PLOTTERS, X-Y AND MULTICHANNEL TYPES","Imprimantes-traceurs, types de courbes et multicanal","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6695F,"[""PV""]","LABORATORY AUTOMATION/INFORMATION MANAGEMENT SYSTEMS EQUIPMENT","Équipement pour systèmes de gestion d'information et d'automation de laboratoire","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6685J,"[""PV""]",RECORDERS,Enregistreurs,"[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6685JD,"[""PV""]","RECORDERS, TEMPERATURE (EXCEPT LONG TERM AMBIENT)","Enregistreurs, température, sauf de l'air ambiant à longue durée","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6685L,"[""PV""]","THERMOCOUPLES, ALL TYPES","Thermocouples, tous les types","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6685M,"[""PV""]",THERMOMETERS,Thermomètres,"[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6685MF,"[""PV""]","Temperature measuring instruments, Infrared","Mesure de température, infrarouge","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6685MG,"[""PV""]","THERMOMETERS, INDICATING, GAS TYPE","Thermomètres indicateurs, type à gaz","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6685MH,"[""PV""]","THERMOSTATS, ALL TYPE","Thermostats, tous les types","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6685N,"[""PV""]",TRANSMITTER,Transmetteur,"[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6720A,"[""PV""]","CAMERAS, STILL PICTURE (AMATEUR - 110 - 126 DISC)","Appareils photographiques, amateurs, 110 - 126 disques","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6720B,"[""PV""]","CAMERAS, STILL PICTURE, 35MM (PROFESSIONAL) EXCEPT UNDERWATER","Appareils photographiques, 35 mm, professionnels, sauf sous-marin","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6720C,"[""PV""]","CAMERAS, STILL PICTURE, UNDERWATER","Appareils photographiques, sous-marin","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6720E,"[""PV""]","CAMERAS, STILL PICTURE, HORIZONTAL AND VERTICAL (PHOTOGRAPHIC OR GRAPHIC ARTS)","Appareils photographiques, microfilm","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6720H,"[""PV""]","CAMERAS, STILL PICTURE, IDENTIFICATION","Appareils photographiques, identification","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6720S,"[""PV""]","CAMERAS AND ACCESSORIES, STILL PICTURE, AIRCRAFT","Appareils photographiques et accessoires, aéronef","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6730,"[""PV""]","Photographic Projection Equipment","Équipement de projection photographique et cinématographique","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6695G,"[""PV""]","ANALYZERS, FISH FRESHNESS","Analyseurs, fraîcheur du poisson","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6695J,"[""PV""]","COMBINATION LEVEL SENSOR, INVENTORY MANAGEMENT AND LEAK DETECTOR, FOR UNDERGROUND FUEL STORAGE TANKS","Détecteurs de niveaux combinés, détecteur du niveau des stocks  et de fuites pour réservoirs de combustible souterrains","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6695K,"[""PV""]","ANALYZERS LIQUID SAMPLE","Analyseurs d'échantillon liquide","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6695L,"[""PV""]","TESTERS,MISCELLANEOUS","Vérificateurs, divers","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6710,"[""PV""]","Cameras, Motion Picture","Appareils cinématographiques","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6710A,"[""PV""]","CAMERAS, MOTION PICTURE - ULTRA MINIATURE, 8MM, SUPER 8MM,      CASSETTE - AMATEUR","Appareils cinématographiques, ultra miniature, 8 mm, super 8 mm,  cassette, amateur","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6710AF,"[""PV""]","CAMERAS, MOTION PICTURE, AIRCRAFT CAMERAS AND ACCESSORIES","Appareils cinématographiques, d'aéronef et accessoires","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6710C,"[""PV""]","CAMERAS, MOTION PICTURE - HIGH SPEED AND LOW SPEED (EVENT       ANALYSIS AND INSTRUMENTATION)","Appareils cinématographiques, grande sensibilité et faible sensibilité, analyse de cas et instrumentation","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6720,"[""PV""]","Cameras, Still Picture","Appareils photographiques","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6720100,"[""PV""]","CAMERAS, STILL PICTURE, MICROFILM","Appareils photographiques, microfilm","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6730C,"[""PV""]","SCREENS, PROJECTION, PHOTOGRAPHIC","Écrans, projection, photographiques","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6740,"[""PV""]","Photographic Developing and Finishing Equipment","Équipements de développement et de tirage photographiques","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6740C,"[""PV""]","TRIMMERS/CUTTERS (MATTE CUTTING) PHOTOGRAPHIC - FILM AND PAPER","Rogneuses, cisailles, coupe matte, photographiques - film et papier","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6740E,"[""PV""]","PRINTERS, PROJECTION PHOTOGRAPHIC","Tireuses, projection photographiques","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6730400,"[""PV""]","READER/PRINTERS, MICROFILM","Lecteurs, tireuses, microfilm","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6730401,"[""PV""]","READER/PRINTERS, MICROFICHE","Lecteurs, tireuses, microfiche","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6730402,"[""PV""]","READER/PRINTERS, MICROFILM, ROLL, CARTRIDGE/CASSETTE","Lecteurs, tireuses, microfilm, rouleau, cartouche, cassette","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6730403,"[""PV""]","READER/PRINTERS, APERTURE CARD","Lecteurs, tireuses, carte d'ouverture","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6730404,"[""PV""]","READING LINE GUIDES (FOR MICROFILM READERS AND READER/PRINTERS)","Guides de lecture, pour lectures de microfilms et lectrices,    imprimantes","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6730A,"[""PV""]","VIEWERS, PHOTOGRAPHIC, STILL PICTURE","Visionneuses, à appareils photographiques","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N6730B,"[""PV""]",PROJECTORS,Projecteurs,"[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
